b'id',b'key',b'value',b'type'
b'9113524',b'created_by',b'JOSM',b'regular'
b'9113524',b'name',b'Hargrave',b'regular'
b'9113524',b'place',b'hamlet',b'regular'
b'9113525',b'created_by',b'JOSM',b'regular'
b'9113526',b'created_by',b'JOSM',b'regular'
b'9113530',b'created_by',b'JOSM',b'regular'
b'9113531',b'created_by',b'JOSM',b'regular'
b'9113541',b'barrier',b'gate',b'regular'
b'9113541',b'bicycle',b'yes',b'regular'
b'9113541',b'foot',b'yes',b'regular'
b'9113541',b'horse',b'yes',b'regular'
b'9113541',b'motor_vehicle',b'yes',b'regular'
b'9113542',b'highway',b'give_way',b'regular'
b'9113545',b'created_by',b'JOSM',b'regular'
b'9816107',b'postcode',b'CW6 9TD',b'addr'
b'9816107',b'street',b'Whitchurch Road',b'addr'
b'9816107',b'amenity',b'restaurant',b'regular'
b'9816107',b'cuisine',b'mexican',b'regular'
b'9816107',b'id',b'890215',b'fhrs'
b'9816107',b'name',"b""Panama Hatty's""",b'regular'
b'9816107',b'website',b'www.panama-hattys.co.uk/restaurant-in-spurstow',b'regular'
b'9816566',b'barrier',b'stile',b'regular'
b'9816566',b'foot',b'yes',b'regular'
b'9816566',b'source',b'GPS survey',b'regular'
b'9818201',b'barrier',b'stile',b'regular'
b'9818201',b'bicycle',b'no',b'regular'
b'9818201',b'foot',b'yes',b'regular'
b'9818367',b'note',b'gap in hedge is on line',b'regular'
b'9819289',b'hazard',b'plant',b'regular'
b'9819289',b'name',b'BEWARE THE HOGWEED!!!',b'regular'
b'9819289',b'species',b'giant_hogweed',b'regular'
b'9819501',b'barrier',b'stile',b'regular'
b'9819501',b'foot',b'yes',b'regular'
b'9819603',b'barrier',b'kissing_gate',b'regular'
b'9819603',b'bicycle',b'no',b'regular'
b'9819603',b'foot',b'yes',b'regular'
b'9819649',b'barrier',b'stile',b'regular'
b'9819649',b'foot',b'yes',b'regular'
b'9819670',b'barrier',b'stile',b'regular'
b'9819670',b'foot',b'yes',b'regular'
b'9819971',b'barrier',b'stile',b'regular'
b'9819971',b'foot',b'yes',b'regular'
b'9820013',b'barrier',b'stile',b'regular'
b'9820013',b'foot',b'yes',b'regular'
b'9820753',b'information',b'guidepost',b'regular'
b'9820753',b'tourism',b'information',b'regular'
b'10156407',b'created_by',b'JOSM',b'regular'
b'10156412',b'created_by',b'JOSM',b'regular'
b'10156413',b'created_by',b'JOSM',b'regular'
b'10156420',b'created_by',b'JOSM',b'regular'
b'10156426',b'created_by',b'JOSM',b'regular'
b'10287621',b'created_by',b'JOSM',b'regular'
b'10287641',b'name',b'Hartford',b'regular'
b'10287641',b'naptan:AtcoCode',b'9100HARTFD',b'regular'
b'10287641',b'operator',b'London Midland',b'regular'
b'10287641',b'platforms',b'2',b'regular'
b'10287641',b'source',b'NPE',b'regular'
b'10287644',b'name',b'Acton Bridge',b'regular'
b'10287644',b'naptan:AtcoCode',b'9100ACBG',b'regular'
b'10287644',b'network',b'National Rail',b'regular'
b'10287644',b'railway',b'station',b'regular'
b'10287644',b'crs',b'ACB',b'ref'
b'10287644',b'uic_ref',b'7000024',b'regular'
b'10309722',b'created_by',b'JOSM',b'regular'
b'10309723',b'created_by',b'JOSM',b'regular'
b'10309725',b'created_by',b'JOSM',b'regular'
b'10613743',b'highway',b'give_way',b'regular'
b'10613749',b'created_by',b'JOSM',b'regular'
b'10613750',b'created_by',b'JOSM',b'regular'
b'10613751',b'created_by',b'JOSM',b'regular'
b'10613752',b'created_by',b'JOSM',b'regular'
b'10613753',b'created_by',b'JOSM',b'regular'
b'10613754',b'created_by',b'JOSM',b'regular'
b'10613757',b'created_by',b'JOSM',b'regular'
b'10613759',b'created_by',b'JOSM',b'regular'
b'10613771',b'created_by',b'JOSM',b'regular'
b'10613774',b'created_by',b'JOSM',b'regular'
b'10613797',b'created_by',b'JOSM',b'regular'
b'10613803',b'created_by',b'JOSM',b'regular'
b'10613807',b'created_by',b'JOSM',b'regular'
